state,city,county,median_value,median_tax
Pennsylvania,Fort Washington,bucks,421700,1.3832
Pennsylvania,Gladwyne,montgomery,409900,1.4091
Pennsylvania,Glenolden,delaware,302400,1.9845
Pennsylvania,Glen Riddle Lima,delaware,302400,1.9845
Pennsylvania,Glenside,montgomery,409900,1.4091
Pennsylvania,Gradyville,delaware,302400,1.9845
Pennsylvania,Hatboro,montgomery,409900,1.4091
Pennsylvania,Haverford,montgomery,409900,1.4091
Pennsylvania,Holmes,delaware,302400,1.9845
Pennsylvania,Horsham,montgomery,409900,1.4091
Pennsylvania,Jenkintown,montgomery,409900,1.4091
Pennsylvania,Langhorne,bucks,421700,1.3832
Pennsylvania,Lansdowne,delaware,302400,1.9845
Pennsylvania,Lenni,delaware,302400,1.9845
Pennsylvania,Feasterville Trevose,bucks,421700,1.3832
Pennsylvania,Levittown,bucks,421700,1.3832
Pennsylvania,Garnet Valley,delaware,302400,1.9845
Pennsylvania,Marcus Hook,delaware,302400,1.9845
Pennsylvania,Media,delaware,302400,1.9845
Pennsylvania,Springfield,delaware,302400,1.9845
Pennsylvania,Merion Station,montgomery,409900,1.4091
Pennsylvania,Morrisville,bucks,421700,1.3832
Pennsylvania,Morton,delaware,302400,1.9845
Pennsylvania,Narberth,montgomery,409900,1.4091
Pennsylvania,Newtown Square,delaware,302400,1.9845
Pennsylvania,Norwood,delaware,302400,1.9845
Pennsylvania,Oreland,montgomery,409900,1.4091
Pennsylvania,Prospect Park,delaware,302400,1.9845
Pennsylvania,Ridley Park,delaware,302400,1.9845
Pennsylvania,Sharon Hill,delaware,302400,1.9845
Pennsylvania,Wayne,delaware,302400,1.9845
Pennsylvania,Swarthmore,delaware,302400,1.9845
Pennsylvania,Upper Darby,delaware,302400,1.9845
Pennsylvania,Havertown,delaware,302400,1.9845
Pennsylvania,Villanova,delaware,302400,1.9845
Pennsylvania,Wallingford,delaware,302400,1.9845
Pennsylvania,Willow Grove,montgomery,409900,1.4091
Pennsylvania,Woodlyn,delaware,302400,1.9845
Pennsylvania,Wyncote,montgomery,409900,1.4091
Pennsylvania,Wynnewood,montgomery,409900,1.4091
Pennsylvania,Paoli,chester,461800,1.3406
Pennsylvania,Atglen,chester,461800,1.3406
Pennsylvania,Avondale,chester,461800,1.3406
Pennsylvania,Berwyn,chester,461800,1.3406
Pennsylvania,Brandamore,chester,461800,1.3406
Pennsylvania,Chadds Ford,delaware,302400,1.9845
Pennsylvania,Chatham,chester,461800,1.3406
Pennsylvania,Cheyney,delaware,302400,1.9845
Pennsylvania,Coatesville,chester,461800,1.3406
Pennsylvania,Cochranville,chester,461800,1.3406
